#    ID             RA        E_RA       DEC      E_DEC    S180    E_S180    SI      E_SI 
 J2214.4-1701     333.61     0.35     -17.03     0.33     68.00     7.23    -1.03     0.17
 J0522.9-3627     80.75     0.34     -36.46     0.33     61.86     6.39    -0.62     0.14
 J2107.3-2526     316.83     0.37     -25.44     0.40     49.90     5.38    -0.92     0.17
 J0626.4-5341     96.60     0.34     -53.69     0.34     48.38     5.15    -1.05     0.17
 J0444.6-2809     71.16     0.34     -28.17     0.33     42.49     4.52    -0.70     0.17
 J0133.9-3628     23.50     0.60     -36.48     0.35     34.08     3.54    -0.84     0.14
 J0046.2-4207     11.57     0.34     -42.13     0.34     32.47     3.45    -0.71     0.17
 J0351.6-2743     57.90     0.37     -27.73     0.34     28.51     3.07    -0.76     0.17
 J0658.9-2417     104.74     0.35     -24.29     0.33     28.26     3.01    -0.78     0.17
 J2334.4-4125     353.61     0.34     -41.42     0.33     27.29     2.90    -0.73     0.17
 J0636.4-2032     99.12     0.34     -20.53     0.47     25.59     2.76    -0.83     0.17
 J2253.0-4057     343.27     0.34     -40.96     0.33     25.41     2.70    -0.81     0.17
 J0428.9-5348     67.24     0.40     -53.82     0.34     24.46     2.64    -0.84     0.17
 J0237.7-1932     39.44     0.34     -19.55     0.33     24.02     2.56    -0.66     0.17
 J0108.3-1604     17.08     0.35     -16.08     0.33     23.71     2.52    -0.76     0.17
 J2101.6-2801     315.40     0.35     -28.03     0.41     23.54     2.55    -1.08     0.17
 J0351.4-1429     57.87     0.35     -14.49     0.33     22.60     2.41    -1.00     0.17
 J2357.0-3445     359.26     0.34     -34.76     0.33     21.82     2.32    -1.07     0.17
 J0747.5-1917     116.88     0.35     -19.30     0.33     21.65     2.31    -0.82     0.17
 J0120.4-1520     20.12     0.35     -15.34     0.33     21.63     2.30    -0.60     0.17
 J0025.8-2602     6.46     0.34     -26.04     0.32     21.37     2.27    0.15     0.17
 J0717.3-2505     109.33     0.35     -25.08     0.33     20.54     2.19    -0.45     0.17
 J0626.7-5432     96.70     0.34     -54.54     0.36     20.20     2.15    -1.00     0.17
 J0200.2-3053     30.06     0.34     -30.89     0.33     20.06     2.13    -0.66     0.17
 J0105.3-4505     16.34     0.35     -45.09     0.34     19.30     2.05    -0.93     0.17
 J0042.1-4413     10.54     0.34     -44.23     0.33     19.00     2.02    -0.63     0.17
 J0455.2-3006     73.81     0.34     -30.12     0.33     19.00     2.02    -0.70     0.17
 J0512.8-4824     78.22     0.35     -48.40     0.34     18.87     2.01    -0.92     0.17
 J0429.6-3630     67.42     0.34     -36.52     0.33     18.38     1.90    -0.85     0.14
 J0627.1-3529     96.78     0.34     -35.49     0.33     18.12     1.87    -0.72     0.14
 J0821.4-3010     125.36     0.47     -30.18     0.39     18.08     1.98    -0.57     0.19
 J0346.5-3422     56.63     0.39     -34.38     0.34     18.08     1.93    -0.51     0.17
